-1.06,9.07,-3.75,-0.22,-0.17,-0.19,-3.21
-1.04,9.14,-3.76,-0.26,-0.26,-0.22,-3.21
-0.68,9.36,-3.98,-0.31,-0.34,-0.26,-3.09
-0.06,9.10,-4.15,-0.37,-0.30,-0.33,-3.09
-0.78,9.17,-3.91,-0.39,-0.27,-0.42,-3.09
-1.30,9.32,-3.62,-0.44,-0.34,-0.46,-3.09
-0.55,9.43,-3.72,-0.48,-0.39,-0.52,-3.09
-0.99,9.87,-3.52,-0.52,-0.50,-0.62,-3.46
-0.72,9.73,-3.17,-0.53,-0.60,-0.71,-3.46
-0.46,9.95,-3.00,-0.55,-0.59,-0.85,-3.46
-1.38,10.45,-2.58,-0.54,-0.60,-0.98,-3.55
-0.78,11.58,-2.57,-0.45,-0.69,-1.06,-3.55
-0.58,11.93,-2.43,-0.45,-0.64,-1.20,-3.50
-1.33,11.72,-2.04,-0.40,-0.60,-1.33,-3.50
-2.09,11.87,-1.89,-0.32,-0.70,-1.38,-3.50
-2.07,13.11,-2.66,-0.34,-0.80,-1.39,-3.50
-0.96,13.18,-3.32,-0.44,-0.73,-1.36,-3.50
-1.62,12.70,-3.29,-0.58,-0.68,-1.48,-3.32
-3.44,12.23,-3.94,-0.51,-0.57,-1.79,-3.32
-5.23,11.40,-4.45,-0.34,-0.34,-2.24,-3.32
-9.13,12.70,-3.87,-0.30,0.04,-2.65,-3.54
-8.94,12.76,-4.12,-0.22,-0.26,-2.35,-3.54
-9.65,11.83,-3.41,-0.18,-0.58,-2.43,-3.66
-7.07,11.08,-2.93,-0.14,-0.35,-2.21,-3.66
-5.97,8.71,-1.18,-0.11,-0.07,-2.16,-3.66
-4.35,6.76,-0.55,-0.10,0.42,-1.93,-3.66
-3.12,5.22,-0.38,-0.08,0.77,-1.57,-3.66
-2.31,3.88,-0.93,-0.05,0.94,-1.07,-3.60
-2.01,3.19,-0.78,-0.04,0.97,-0.60,-3.60
-1.49,2.28,-0.93,-0.03,0.96,0.07,-3.60
0.42,1.26,-1.09,-0.00,1.04,0.68,-3.88
0.82,0.71,-0.91,0.08,1.30,1.19,-3.88
0.36,1.19,-1.26,0.13,1.45,1.76,-3.87
-1.49,1.48,-1.89,0.17,1.37,2.23,-3.87
-2.96,2.20,-1.98,0.27,1.04,2.68,-3.87
-3.55,2.80,-1.82,0.37,0.65,2.97,-3.66
-3.84,4.19,-2.00,0.44,0.52,3.12,-3.66
-4.38,5.41,-1.82,0.52,0.61,2.95,-3.66
-5.48,6.57,-1.96,0.53,0.77,2.71,-3.66
-8.16,7.85,-2.73,0.52,0.68,2.39,-3.66
-9.30,9.35,-2.86,0.46,0.32,1.99,-3.90
-8.03,9.92,-2.65,0.30,0.12,1.50,-3.90
-6.03,8.88,-2.12,0.13,0.32,0.89,-3.71
-4.97,7.80,-2.19,0.05,0.64,0.42,-3.71
-5.32,7.51,-2.54,0.00,0.81,0.05,-3.71
-4.34,8.52,-5.43,0.05,1.00,-0.07,-3.54
-18.08,19.61,-12.49,0.38,0.89,-1.66,-3.54
-1.68,-1.74,0.38,-0.07,-1.20,-0.42,-3.54
3.79,10.31,-1.30,-0.04,-0.47,-0.62,-3.54
-5.04,7.67,-3.73,0.14,-0.14,-0.76,-3.54
-4.85,6.53,-4.81,0.15,-0.04,-0.57,-3.90
-6.80,10.19,-4.12,-0.04,-0.29,-0.18,-3.90
-3.29,8.69,-3.60,-0.12,-0.30,0.06,-3.60
-3.29,8.67,-3.65,-0.16,-0.13,0.10,-3.60
-2.28,8.83,-4.06,-0.11,-0.09,0.10,-3.60
-3.18,8.69,-3.46,-0.11,-0.02,0.07,-3.74
-4.74,8.84,-2.74,-0.10,0.03,0.23,-3.74
-4.10,8.73,-2.87,-0.05,-0.05,0.45,-3.74
-3.03,8.69,-3.15,-0.01,-0.03,0.52,-3.74
-3.69,8.91,-3.12,0.02,0.03,0.61,-3.74
-3.92,9.08,-3.15,0.04,-0.01,0.75,-3.75
-3.47,8.94,-3.25,0.08,-0.15,0.89,-3.75
-3.32,9.25,-3.25,0.11,-0.29,0.89,-3.68
-2.78,9.27,-3.60,0.12,-0.34,0.90,-3.68
-1.70,8.72,-3.79,0.10,-0.36,0.95,-3.68
-0.41,8.32,-4.01,0.09,-0.32,0.86,-3.90
-0.27,8.25,-3.82,0.07,-0.26,0.72,-3.90
0.00,8.38,-4.25,0.03,-0.25,0.57,-3.90
1.06,8.40,-4.58,-0.02,-0.10,0.40,-3.90
0.01,8.77,-3.60,-0.05,0.03,0.18,-3.90
-0.30,8.90,-2.80,-0.02,-0.10,0.03,-3.90
-1.17,9.06,-3.57,-0.02,-0.13,-0.06,-3.90
-0.64,8.89,-3.68,-0.05,-0.21,-0.11,-3.48
-0.42,9.59,-3.48,-0.06,-0.28,-0.23,-3.48
0.24,9.37,-3.53,-0.07,-0.37,-0.37,-3.48
