0.21,9.66,-0.97,0.00,-0.05,0.01,-0.43
0.36,9.69,-1.02,0.00,-0.05,-0.01,-0.43
0.34,9.66,-1.15,0.00,-0.04,-0.03,-0.31
0.23,9.73,-1.10,-0.01,-0.06,-0.04,-0.31
0.28,9.71,-1.01,-0.02,-0.08,-0.05,-0.31
0.39,9.75,-1.21,-0.04,-0.08,-0.07,-0.33
0.37,9.79,-1.09,-0.05,-0.08,-0.10,-0.33
0.53,9.67,-1.07,-0.06,-0.10,-0.13,-0.33
0.65,9.74,-0.95,-0.06,-0.09,-0.16,-0.33
0.58,9.82,-1.07,-0.06,-0.05,-0.21,-0.33
0.48,9.98,-1.24,-0.08,-0.09,-0.25,-0.19
0.58,9.79,-1.08,-0.09,-0.13,-0.30,-0.19
0.58,9.88,-1.24,-0.12,-0.16,-0.36,-0.14
0.65,10.08,-1.29,-0.14,-0.18,-0.41,-0.14
0.68,10.23,-1.36,-0.18,-0.21,-0.48,-0.14
0.74,10.44,-1.26,-0.22,-0.25,-0.55,-0.11
0.96,11.01,-1.19,-0.27,-0.30,-0.63,-0.11
1.32,11.31,-1.01,-0.34,-0.29,-0.76,-0.29
1.21,11.27,-0.80,-0.36,-0.23,-0.88,-0.29
0.52,11.31,-0.80,-0.43,-0.22,-0.96,-0.29
0.36,10.94,-1.21,-0.48,-0.15,-0.99,-0.29
0.30,10.63,-1.72,-0.53,-0.02,-0.99,-0.29
0.23,10.21,-1.62,-0.48,0.29,-0.99,-0.16
-0.47,9.56,-1.75,-0.42,0.59,-0.99,-0.16
-1.80,8.64,-1.86,-0.31,0.76,-0.96,-0.16
-2.77,8.06,-1.70,-0.20,0.78,-0.93,-0.40
-3.62,8.25,-0.97,-0.09,0.58,-0.84,-0.40
-2.72,8.05,-0.84,-0.08,0.31,-0.56,-0.35
-0.71,7.70,-0.51,-0.10,0.38,-0.26,-0.35
1.36,6.75,-0.74,0.06,1.00,-0.05,-0.35
1.85,6.08,-1.22,0.35,1.70,0.12,-0.35
0.69,6.71,-1.53,0.56,1.97,0.43,-0.35
-0.26,7.68,-1.49,0.64,1.79,0.87,-0.29
-0.85,8.25,-1.33,0.65,1.38,1.25,-0.29
-1.02,8.83,-1.22,0.63,0.85,1.64,-0.29
-0.76,9.36,-1.16,0.57,0.34,1.99,-0.43
-0.06,9.83,-1.08,0.51,0.03,2.27,-0.43
0.64,10.06,-1.16,0.54,-0.07,2.43,-0.37
1.13,10.29,-1.17,0.61,0.03,2.47,-0.37
1.34,10.75,-1.21,0.66,0.20,2.45,-0.37
1.39,11.02,-1.31,0.70,0.38,2.36,-0.37
1.04,11.31,-1.45,0.68,0.44,2.21,-0.37
0.89,11.54,-1.34,0.58,0.45,2.04,-0.26
0.96,11.36,-1.26,0.48,0.50,1.89,-0.26
1.27,10.70,-1.23,0.39,0.61,1.65,-0.26
1.36,10.04,-1.10,0.37,0.76,1.33,-0.23
0.86,9.74,-1.08,0.39,0.88,0.94,-0.23
0.30,9.71,-1.23,0.35,0.92,0.49,0.01
-0.25,9.50,-1.47,0.29,0.84,0.09,0.01
-0.46,9.26,-1.74,0.24,0.72,-0.32,0.01
-1.14,9.40,-1.43,0.20,0.56,-0.78,0.01
-0.83,9.59,-2.79,0.20,0.50,-1.14,0.01
5.59,10.32,-2.74,0.12,0.24,-0.71,-0.16
9.24,9.95,0.98,0.05,-0.28,-0.17,-0.16
2.84,9.43,-1.81,0.30,0.22,-0.79,-0.16
0.40,12.30,-1.70,0.26,0.42,-1.18,0.11
1.85,10.49,-1.34,0.23,0.36,-1.18,0.11
1.14,8.98,-1.00,0.27,0.30,-1.19,-0.17
2.00,8.51,-1.74,0.37,0.12,-1.10,-0.17
1.15,8.38,-3.73,0.34,-0.01,-0.94,-0.17
0.77,9.22,-3.60,0.24,0.06,-0.84,-0.09
0.87,9.81,-1.70,0.19,0.01,-0.80,-0.09
0.81,9.69,-1.25,0.29,-0.09,-0.73,-0.09
1.50,9.35,-1.97,0.35,-0.09,-0.71,-0.09
2.35,9.39,-2.70,0.41,0.12,-0.78,-0.09
1.51,9.20,-3.88,0.39,0.26,-0.84,-0.17
-0.03,9.73,-4.09,0.24,0.05,-0.79,-0.17
-0.03,9.60,-3.35,0.10,-0.29,-0.67,-0.06
0.96,9.49,-2.59,0.09,-0.35,-0.63,-0.06
1.37,9.34,-2.59,0.12,-0.17,-0.69,-0.06
0.97,9.34,-2.89,0.13,-0.06,-0.73,-0.16
0.51,9.04,-3.33,0.12,-0.12,-0.73,-0.16
0.36,9.09,-3.37,0.07,-0.20,-0.70,-0.16
0.20,9.25,-2.89,0.06,-0.19,-0.70,-0.16
-0.06,9.36,-2.53,0.07,-0.17,-0.72,-0.16
-0.47,9.43,-2.58,0.07,-0.16,-0.72,-0.25
-0.48,9.44,-2.99,0.07,-0.19,-0.69,-0.25
-0.33,9.31,-2.83,0.08,-0.23,-0.67,-0.09
-0.78,9.30,-2.96,0.07,-0.24,-0.66,-0.09
-1.02,9.37,-2.77,0.06,-0.27,-0.63,-0.09
-0.69,9.32,-2.36,0.06,-0.36,-0.64,-0.33
0.14,9.70,-3.22,0.07,-0.41,-0.69,-0.33
-0.14,9.88,-4.08,0.01,-0.42,-0.80,-0.33
-0.80,9.90,-3.80,-0.08,-0.57,-0.84,-0.33
-0.22,10.19,-3.22,-0.15,-0.73,-0.94,-0.33
0.38,10.35,-2.63,-0.19,-0.78,-1.15,-0.28
