1.17,10.42,-1.46,-0.14,-0.63,-0.75,-0.81
1.31,11.14,-1.84,-0.17,-0.76,-0.97,-0.81
1.25,11.68,-1.93,-0.19,-0.92,-1.17,-0.82
1.73,12.24,-1.78,-0.14,-1.19,-1.35,-0.82
0.38,14.16,-2.40,-0.17,-1.30,-1.43,-0.40
0.38,13.33,-2.57,-0.24,-1.42,-1.48,-0.40
1.34,11.49,-2.91,-0.32,-1.31,-1.48,-0.40
1.51,9.61,-2.20,-0.24,-0.70,-1.46,-0.40
0.06,8.26,-2.36,0.02,0.06,-1.37,-0.40
-1.40,7.62,-2.25,0.24,0.26,-0.94,-0.71
-1.15,7.34,-1.20,0.22,0.00,-0.32,-0.71
0.81,5.94,-0.28,0.25,-0.13,0.37,-0.71
1.81,5.45,-0.85,0.38,-0.02,0.92,-0.84
2.76,6.40,-1.38,0.47,0.22,1.47,-0.84
2.10,7.02,-0.94,0.52,0.38,1.95,-0.70
1.45,7.58,-1.08,0.55,0.43,2.35,-0.70
1.28,8.30,-0.85,0.56,0.39,2.75,-0.70
1.19,9.08,-0.79,0.57,0.31,3.06,-0.70
1.50,10.17,-1.13,0.55,0.25,3.28,-0.70
1.84,11.34,-1.67,0.53,0.25,3.38,-0.96
1.85,11.83,-1.98,0.51,0.27,3.37,-0.96
1.54,11.85,-2.15,0.47,0.20,3.23,-0.96
0.89,11.54,-2.37,0.43,0.07,2.98,-0.84
0.69,11.47,-2.64,0.41,-0.02,2.65,-0.84
0.29,11.05,-2.73,0.35,-0.11,2.25,-0.89
0.14,10.05,-2.56,0.31,-0.13,1.83,-0.89
-0.37,9.27,-1.94,0.36,-0.09,1.22,-0.89
-1.20,8.83,-1.80,0.41,0.07,0.44,-0.89
-2.33,9.95,-2.15,0.38,0.26,-0.33,-0.89
-4.21,10.33,-1.87,0.21,0.28,-1.20,-0.78
-3.59,11.84,-1.53,0.06,0.37,-1.92,-0.78
13.09,17.97,3.50,-0.82,0.48,-1.17,-0.78
8.05,9.74,0.66,0.25,1.22,-2.46,-0.62
-2.42,8.15,-0.84,0.69,1.99,-2.99,-0.62
-1.50,7.83,-3.02,0.69,1.53,-2.28,-0.52
-2.76,5.58,-5.61,0.75,1.42,-1.96,-0.52
-7.28,13.72,-5.61,0.22,0.61,-1.58,-0.52
-2.47,10.71,-0.90,-0.01,-0.85,-1.22,-0.78
-0.91,9.51,-0.67,0.07,-1.23,-0.96,-0.78
3.22,9.58,-0.88,0.37,-0.49,-0.96,-0.78
3.79,8.49,-3.95,0.44,0.54,-1.26,-0.78
-1.70,10.13,-3.90,0.37,0.77,-1.32,-0.78
-3.39,10.08,-3.94,0.15,-0.25,-0.96,-0.60
-1.90,9.73,-3.39,-0.00,-0.95,-0.63,-0.60
2.79,9.82,-1.89,0.05,-0.55,-0.76,-0.65
0.29,9.58,-2.61,0.10,-0.27,-0.95,-0.65
-1.44,9.43,-3.03,0.07,-0.47,-0.93,-0.65
-0.62,9.29,-3.18,0.04,-0.76,-0.85,-0.66
-0.27,9.60,-3.31,0.03,-0.72,-0.89,-0.66
-1.49,9.56,-2.69,-0.00,-0.74,-0.88,-0.66
-1.36,9.73,-2.70,-0.04,-0.78,-0.86,-0.66
-1.50,9.79,-2.58,-0.06,-0.83,-0.86,-0.66
-0.79,9.93,-2.00,-0.08,-0.83,-0.89,-0.83
-0.46,10.16,-2.38,-0.14,-0.67,-1.04,-0.83
-0.59,10.65,-2.55,-0.19,-0.75,-1.20,-0.80
0.24,11.49,-3.29,-0.31,-0.83,-1.40,-0.80
0.24,11.75,-3.13,-0.41,-0.99,-1.64,-0.80
0.95,12.50,-2.71,-0.57,-1.21,-1.94,-0.93
2.28,13.76,-3.20,-0.72,-1.29,-2.27,-0.93
3.92,18.15,-4.19,-0.90,-1.26,-2.66,-0.93
5.85,19.61,-3.46,-0.90,-1.21,-2.96,-0.93
6.33,19.61,-3.44,-0.83,-1.42,-3.00,-0.93
4.38,15.61,-6.56,-0.79,-1.53,-3.32,-0.94
-0.57,15.27,-6.19,-0.80,-0.42,-3.43,-0.94
-0.49,10.48,-5.55,-0.47,0.67,-3.12,-1.34
-1.97,6.31,-4.05,-0.13,1.10,-2.61,-1.34
-5.39,3.41,-1.69,-0.09,0.44,-1.67,-1.34
-7.84,2.64,-1.50,-0.20,-0.45,-0.53,-1.12
-2.47,2.38,-2.08,-0.05,-0.82,0.76,-1.12
2.72,1.48,-1.25,0.13,-0.89,1.86,-1.12
2.06,1.92,1.14,0.36,-0.35,2.29,-1.12
0.23,2.94,0.72,0.69,0.43,2.67,-1.12
-1.19,4.23,0.09,0.82,0.94,3.26,-1.29
-1.00,5.48,0.27,0.82,1.18,3.92,-1.29
-0.84,6.73,0.73,0.76,1.31,4.37,-1.20
-1.72,8.09,0.79,0.71,1.28,4.37,-1.20
